Name,Type,Category,Power,Accuracy,PP,Priority,Effect
Absorb,Grass,Special,20,100,32,0,Restores the user's HP by 1/2 of the damage inflicted on the target.
Acid,Poison,Physical,40,100,48,0,Has a 10% chance to lower the target's Special Defense by 1 stage.
Acid Armor,Poison,Status,0,0,64,0,Raises the user's Defense by 2 stages.
Aeroblast,Flying,Physical,100,95,8,0,Has a high critical hit ratio.
Agility,Psychic,Status,0,0,48,0,Raises the user's Speed by 2 stages.
Amnesia,Psychic,Status,0,0,32,0,Raises the user's Special Defense by 2 stages.
Ancient Power,Rock,Physical,60,100,8,0,Has a 10% chance to raise all of the user's stats by 1 stage.
Attract,Normal,Status,0,100,24,0,Infatuates Pokemon of the opposite gender even if they have a Substitute causing a 50% chance for the target's attack to fail.
Aurora Beam,Ice,Special,65,100,32,0,Has a 10% chance to lower the target's Attack by 1 stage.
Barrage,Normal,Physical,15,85,32,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Barrier,Psychic,Status,0,0,48,0,Raises the user's Defense by 2 stages.
Baton Pass,Normal,Status,0,0,64,0,The user returns to its party bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative including from Charge and Stockpile) as well as confusion Focus Energy/Lansat Berry boosts Ingrain Aqua Ring Embargo Gastro Acid Power Trick Magnet Rise Stockpiles Perish Song count Mist Leech Seed Ghost Curses Mind Reader Lock-On Block Mean Look Spider Web and Substitute to the replacement Pokemon.
Beat Up,Dark,Special,10,100,16,0,Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.
Belly Drum,Normal,Status,0,0,16,0,The user maximizes its Attack but sacrifices 50% of its max HP.
Bide,Normal,Physical,50,100,16,1,Usually goes first for the duration of the move. The user absorbs all damage for two turns and then during the third turn the user inflicts twice the absorbed damage on its target. This move ignores the target's type and even hits Ghost-type Pokemon.
Bind,Normal,Physical,15,85,32,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
Bite,Dark,Special,60,100,40,0,Has a 30% chance to make the target flinch.
Blizzard,Ice,Special,120,70,8,0,Has a 10% chance to freeze the target. During Hail this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.
Body Slam,Normal,Physical,85,100,24,0,Has a 30% chance to paralyze the target.
Bone Club,Ground,Physical,65,85,32,0,Has a 10% chance to make the target flinch.
Bone Rush,Ground,Physical,25,80,16,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Bonemerang,Ground,Physical,50,90,16,0,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.
Bubble,Water,Special,20,100,48,0,Has a 10% chance to lower the target's Speed by 1 stage.
Bubble Beam,Water,Special,65,100,32,0,Has a 10% chance to lower the target's Speed by 1 stage.
Charm,Normal,Status,0,100,32,0,Lowers the target's Attack by 2 stages.
Clamp,Water,Special,35,85,16,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
Comet Punch,Normal,Physical,18,85,24,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Confuse Ray,Ghost,Status,0,100,16,0,Confuses the target.
Confusion,Psychic,Special,50,100,40,0,Has a 10% chance to confuse the target.
Constrict,Normal,Physical,10,100,56,0,Has a 10% chance to lower the target's Speed by 1 stage.
Conversion,Normal,Status,0,0,48,0,The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.
Conversion 2,Normal,Status,0,100,48,0,The user's type changes to one that resists the type of the last attack that hit the user.
Cotton Spore,Grass,Status,0,100,64,0,Lowers the target's Speed by 2 stages.
Counter,Fighting,Physical,50,100,32,-1,Almost always goes last; if an opponent strikes with a Physical attack before the user's turn the user retaliates for twice the damage it had endured. In double battles this attack targets the last opponent to hit the user with a Physical attack and cannot hit the user's teammate.
Crabhammer,Water,Special,90,90,16,0,Has a high critical hit ratio.
Cross Chop,Fighting,Physical,100,80,8,0,Has a high critical hit ratio.
Crunch,Dark,Special,80,100,24,0,Has a 20% chance to lower the target's Defense by 1 stage.
Curse,Ghost,Status,0,0,16,0,When used by a Ghost-type the user sacrifices half of its max HP to sap the target by 1/4 of its max HP per turn. When used by anything else the user's Speed is decreased by 1 stage and its Attack and Defense are increased by 1 stage.
Cut,Normal,Physical,50,95,48,0,Deals damage with no additional effect.
Defense Curl,Normal,Status,0,0,64,0,Raises the user's Defense by 1 stage; after one use of this move the user's starting base power is doubled for every use of Rollout or Ice Ball.
Destiny Bond,Ghost,Status,0,0,8,0,Causes an opponent to faint if its next attack KOs the user.
Detect,Fighting,Status,0,0,8,2,Almost always goes first. The user is protected from all attacks for one turn but the move's success rate halves with each consecutive use of Protect Detect or Endure. If a Pokemon has No Guard or used Lock-On or Mind Reader against the user during the previous turn its attack has a [100 Varmove's normal accuracy]% chance to hit through Detect; OHKO moves do not benefit from this effect. Blizzard has a 30% to hit through this move during Hail as does Thunder during Rain Dance.
Dig,Ground,Physical,80,100,16,0,On the first turn the user digs underground becoming uncontrollable and evades all attacks. Earthquake and Magnitude can hit underground and gain doubled power. The user may also be hit underground if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.
Disable,Normal,Status,0,100,32,0,The target cannot choose its last move for 4-7 turns. Disable only works on one move at a time and fails if the target has not yet used a move or if its move has run out of PP. The target does nothing if it is about to use a move that becomes disabled.
Dizzy Punch,Normal,Physical,70,100,16,0,Has a 20% chance to confuse the target.
Double Kick,Fighting,Physical,30,100,48,0,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.
Double Slap,Normal,Physical,15,85,16,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Double Team,Normal,Status,0,0,24,0,Raises the user's Evasion by 1 stage.
Double-Edge,Normal,Physical,120,100,24,0,The user receives 1/3 recoil damage.
Dragon Breath,Dragon,Special,60,100,32,0,Has a 30% chance to paralyze the target.
Dragon Rage,Dragon,Special,40,100,16,0,Always deals 40 points of damage.
Dream Eater,Psychic,Special,100,100,24,0,Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.
Drill Peck,Flying,Physical,80,100,32,0,Deals damage with no additional effect.
Dynamic Punch,Fighting,Physical,100,50,8,0,Confuses the target.
Earthquake,Ground,Physical,100,100,16,0,Power doubles when performed against Pokemon using Dig.
Egg Bomb,Normal,Physical,100,75,16,0,Deals damage with no additional effect.
